league,season,week,date,event,side,close_spread,home_spread_odds,away_spread_odds,model_p,breakeven_p,EV,tier,y,profit_USD,model_edge_pts
NFL,2016,1,2016-09-08,CAR@DEN,away,-3.0,-111.0,101.0,0.5885748930607881,0.4975124378109453,18.303553505218417,Green,0,-100.0,-3.0000000000000004
NFL,2016,1,2016-09-11,NE@ARI,home,9.0,-107.0,-103.0,0.7490941167400041,0.5169082125603864,44.91820763101014,Green,0,-100.0,9.0
NFL,2016,1,2016-09-11,TB@ATL,home,2.5,-108.0,-102.0,0.5739999930772464,0.5192307692307693,10.548146814877079,Green,0,-100.0,2.5
NFL,2016,1,2016-09-11,BUF@BAL,home,3.0,-116.0,105.0,0.5885748930607881,0.5370370370370371,9.596704225112273,Green,1,86.21,3.0000000000000004
NFL,2016,1,2016-09-11,NYG@DAL,home,1.0,-105.0,-105.0,0.5297442009973109,0.5121951219512195,3.4262487661416485,Green,0,-100.0,0.9999999999999987
NFL,2016,1,2016-09-11,CHI@HOU,home,5.5,-103.0,-107.0,0.6592612417433361,0.5073891625615764,29.932069974657505,Green,1,97.09,5.5
NFL,2016,1,2016-09-11,DET@IND,home,2.5,-118.0,107.0,0.5739999930772464,0.5412844036697247,6.0440665176607675,Green,0,-100.0,2.5
NFL,2016,1,2016-09-11,GB@JAX,away,-3.5,-110.0,-100.0,0.6030285590722003,0.5,20.605711814440063,Green,1,100.0,-3.4999999999999982
NFL,2016,1,2016-09-11,SD@KC,home,6.5,-105.0,-105.0,0.6861882951103464,0.5121951219512195,33.97009571202001,Green,0,-100.0,6.5000000000000036
NFL,2016,1,2016-09-11,OAK@NO,home,2.5,-123.0,111.0,0.5739999930772464,0.5515695067264574,4.0666654115658005,Green,0,-100.0,2.5
NFL,2016,1,2016-09-11,CIN@NYJ,home,1.0,-110.0,-100.0,0.5297442009973109,0.5238095238095238,1.132983826759354,Yellow,0,-100.0,0.9999999999999987
NFL,2016,1,2016-09-11,CLE@PHI,home,3.5,-105.0,-105.0,0.6030285590722003,0.5121951219512195,17.73414724742959,Green,1,95.24,3.4999999999999982
NFL,2016,1,2016-09-11,MIA@SEA,home,10.5,-100.0,-110.0,0.7833573157367203,0.5,56.671463147344056,Green,0,-100.0,10.5
NFL,2016,1,2016-09-11,MIN@TEN,away,-2.5,-110.0,-100.0,0.5739999930772464,0.5,14.799998615449272,Green,1,100.0,-2.5
NFL,2016,1,2016-09-12,LA@SF,away,-2.5,-107.0,-103.0,0.5739999930772464,0.5073891625615764,13.128153975418455,Green,0,-100.0,-2.5
NFL,2016,1,2016-09-12,PIT@WAS,away,-2.5,-100.0,-110.0,0.5739999930772464,0.5238095238095238,9.581816860201576,Green,1,90.91,-2.5
NFL,2016,2,2016-09-15,NYJ@BUF,home,1.5,-110.0,-100.0,0.544564628101129,0.5238095238095238,3.9623380920337237,Green,0,-100.0,1.4999999999999987
NFL,2016,2,2016-09-18,TB@ARI,home,7.5,108.0,-119.0,0.7121584679299363,0.4807692307692308,48.12896132942676,Green,1,108.0,7.500000000000003
NFL,2016,2,2016-09-18,SF@CAR,home,12.0,-101.0,-109.0,0.814746048290895,0.5024875621890548,62.14253040244545,Green,1,99.01,11.999999999999996
NFL,2016,2,2016-09-18,BAL@CLE,away,-4.0,-113.0,102.0,0.6173420593950878,0.49504950495049505,24.703095997807733,Green,1,102.0,-4.000000000000001
NFL,2016,2,2016-09-18,IND@DEN,home,5.0,-105.0,-105.0,0.6454757648289114,0.5121951219512195,26.021458847549372,Green,1,95.24,5.000000000000001
NFL,2016,2,2016-09-18,TEN@DET,home,6.0,-108.0,-102.0,0.6728372237476172,0.5192307692307693,29.583465314355916,Green,0,-100.0,5.999999999999999
NFL,2016,2,2016-09-18,KC@HOU,away,-1.0,-110.0,-100.0,0.529744200997311,0.5,5.948840199462202,Green,0,-100.0,-1.0000000000000024
