date,season,week,home,away,home_score,away_score,close_spread,home_spread_odds,away_spread_odds
2016-09-08,2016,1,DEN,CAR,21.0,20.0,-3.0,-111.0,101.0
2016-09-11,2016,1,ARI,NE,21.0,23.0,9.0,-107.0,-103.0
2016-09-11,2016,1,ATL,TB,24.0,31.0,2.5,-108.0,-102.0
2016-09-11,2016,1,BAL,BUF,13.0,7.0,3.0,-116.0,105.0
2016-09-11,2016,1,DAL,NYG,19.0,20.0,1.0,-105.0,-105.0
2016-09-11,2016,1,HOU,CHI,23.0,14.0,5.5,-103.0,-107.0
2016-09-11,2016,1,IND,DET,35.0,39.0,2.5,-118.0,107.0
2016-09-11,2016,1,JAX,GB,23.0,27.0,-3.5,-110.0,-100.0
2016-09-11,2016,1,KC,SD,33.0,27.0,6.5,-105.0,-105.0
2016-09-11,2016,1,NO,OAK,34.0,35.0,2.5,-123.0,111.0
2016-09-11,2016,1,NYJ,CIN,22.0,23.0,1.0,-110.0,-100.0
2016-09-11,2016,1,PHI,CLE,29.0,10.0,3.5,-105.0,-105.0
2016-09-11,2016,1,SEA,MIA,12.0,10.0,10.5,-100.0,-110.0
2016-09-11,2016,1,TEN,MIN,16.0,25.0,-2.5,-110.0,-100.0
2016-09-12,2016,1,SF,LA,28.0,0.0,-2.5,-107.0,-103.0
2016-09-12,2016,1,WAS,PIT,16.0,38.0,-2.5,-100.0,-110.0
2016-09-15,2016,2,BUF,NYJ,31.0,37.0,1.5,-110.0,-100.0
2016-09-18,2016,2,ARI,TB,40.0,7.0,7.5,108.0,-119.0
2016-09-18,2016,2,CAR,SF,46.0,27.0,12.0,-101.0,-109.0
2016-09-18,2016,2,CLE,BAL,20.0,25.0,-4.0,-113.0,102.0
2016-09-18,2016,2,DEN,IND,34.0,20.0,5.0,-105.0,-105.0
2016-09-18,2016,2,DET,TEN,15.0,16.0,6.0,-108.0,-102.0
2016-09-18,2016,2,HOU,KC,19.0,12.0,-1.0,-110.0,-100.0
2016-09-18,2016,2,LA,SEA,9.0,3.0,-5.5,-107.0,-103.0
2016-09-18,2016,2,MIN,GB,17.0,14.0,-1.5,-103.0,-107.0
2016-09-18,2016,2,NE,MIA,31.0,24.0,5.5,-102.0,-108.0
2016-09-18,2016,2,NYG,NO,16.0,13.0,3.5,-109.0,-101.0
2016-09-18,2016,2,OAK,ATL,28.0,35.0,4.0,-106.0,-104.0
2016-09-18,2016,2,PIT,CIN,24.0,16.0,3.0,-107.0,-103.0
2016-09-18,2016,2,SD,JAX,38.0,14.0,3.0,104.0,-115.0
2016-09-18,2016,2,WAS,DAL,23.0,27.0,3.5,-102.0,-108.0
2016-09-19,2016,2,CHI,PHI,14.0,29.0,3.0,-110.0,-100.0
2016-09-22,2016,3,NE,HOU,27.0,0.0,1.0,-111.0,101.0
2016-09-25,2016,3,BUF,ARI,33.0,18.0,-5.0,-106.0,-104.0
2016-09-25,2016,3,CAR,MIN,10.0,22.0,6.0,-102.0,-108.0
2016-09-25,2016,3,CIN,DEN,17.0,29.0,3.5,-101.0,-109.0
2016-09-25,2016,3,DAL,CHI,31.0,17.0,6.5,-103.0,-107.0
2016-09-25,2016,3,GB,DET,34.0,27.0,6.0,-108.0,-102.0
2016-09-25,2016,3,IND,SD,26.0,22.0,1.5,-113.0,102.0
2016-09-25,2016,3,JAX,BAL,17.0,19.0,-1.0,-101.0,-109.0
2016-09-25,2016,3,KC,NYJ,24.0,3.0,3.0,-117.0,106.0
2016-09-25,2016,3,MIA,CLE,30.0,24.0,10.0,-105.0,-105.0
2016-09-25,2016,3,NYG,WAS,27.0,29.0,3.5,102.0,-113.0
2016-09-25,2016,3,PHI,PIT,34.0,3.0,-3.5,-105.0,-105.0
2016-09-25,2016,3,SEA,SF,37.0,18.0,10.5,-101.0,-109.0
2016-09-25,2016,3,TB,LA,32.0,37.0,3.5,-107.0,-103.0
2016-09-25,2016,3,TEN,OAK,10.0,17.0,-1.5,-103.0,-107.0
2016-09-26,2016,3,NO,ATL,32.0,45.0,2.5,-127.0,115.0
2016-09-29,2016,4,CIN,MIA,22.0,7.0,7.5,102.0,-113.0
2016-10-02,2016,4,ARI,LA,13.0,17.0,10.0,103.0,-114.0
2016-10-02,2016,4,ATL,CAR,48.0,33.0,-2.5,103.0,-114.0
2016-10-02,2016,4,BAL,OAK,27.0,28.0,3.5,-100.0,-110.0
2016-10-02,2016,4,CHI,DET,17.0,14.0,-3.0,112.0,-124.0
2016-10-02,2016,4,HOU,TEN,27.0,20.0,4.0,-105.0,-105.0
2016-10-02,2016,4,JAX,IND,30.0,27.0,1.0,102.0,-113.0
2016-10-02,2016,4,NE,BUF,0.0,16.0,3.5,104.0,-115.0
2016-10-02,2016,4,NYJ,SEA,17.0,27.0,-1.0,-105.0,-105.0
2016-10-02,2016,4,PIT,KC,43.0,14.0,3.0,-123.0,111.0
2016-10-02,2016,4,SD,NO,34.0,35.0,4.0,-108.0,-102.0
2016-10-02,2016,4,SF,DAL,17.0,24.0,-1.0,105.0,-116.0
2016-10-02,2016,4,TB,DEN,7.0,27.0,-3.5,-113.0,102.0
2016-10-02,2016,4,WAS,CLE,31.0,20.0,7.5,-110.0,-100.0
2016-10-03,2016,4,MIN,NYG,24.0,10.0,3.5,-113.0,102.0
2016-10-06,2016,5,SF,ARI,21.0,33.0,-3.5,-104.0,-106.0
2016-10-09,2016,5,BAL,WAS,10.0,16.0,4.0,-102.0,-108.0
2016-10-09,2016,5,CLE,NE,13.0,33.0,-10.0,-110.0,-100.0
2016-10-09,2016,5,DAL,CIN,28.0,14.0,-2.5,-106.0,-104.0
2016-10-09,2016,5,DEN,ATL,16.0,23.0,3.5,-113.0,102.0
2016-10-09,2016,5,DET,PHI,24.0,23.0,-3.5,-108.0,-102.0
2016-10-09,2016,5,GB,NYG,23.0,16.0,7.0,-100.0,-110.0
2016-10-09,2016,5,IND,CHI,29.0,23.0,4.0,-105.0,-105.0
2016-10-09,2016,5,LA,BUF,19.0,30.0,-2.5,-105.0,-105.0
2016-10-09,2016,5,MIA,TEN,17.0,30.0,2.5,-108.0,-102.0
2016-10-09,2016,5,MIN,HOU,31.0,13.0,6.0,-105.0,-105.0
2016-10-09,2016,5,OAK,SD,34.0,31.0,3.5,-109.0,-101.0
2016-10-09,2016,5,PIT,NYJ,31.0,13.0,10.0,111.0,-123.0
2016-10-10,2016,5,CAR,TB,14.0,17.0,6.0,-103.0,-107.0
2016-10-13,2016,6,SD,DEN,21.0,13.0,-3.0,-110.0,-100.0
2016-10-16,2016,6,BUF,SF,45.0,16.0,7.5,102.0,-113.0
2016-10-16,2016,6,CHI,JAX,16.0,17.0,2.5,-117.0,106.0
2016-10-16,2016,6,DET,LA,31.0,28.0,2.5,-123.0,111.0
2016-10-16,2016,6,GB,DAL,16.0,30.0,5.0,-108.0,-102.0
2016-10-16,2016,6,HOU,IND,26.0,23.0,3.0,-110.0,-100.0
2016-10-16,2016,6,MIA,PIT,30.0,15.0,-7.5,-117.0,106.0
2016-10-16,2016,6,NE,CIN,35.0,17.0,7.5,106.0,-117.0
2016-10-16,2016,6,NO,CAR,41.0,38.0,-2.5,106.0,-117.0
2016-10-16,2016,6,NYG,BAL,27.0,23.0,3.5,-113.0,102.0
2016-10-16,2016,6,OAK,KC,10.0,26.0,-1.0,104.0,-115.0
2016-10-16,2016,6,SEA,ATL,26.0,24.0,7.0,-103.0,-107.0
2016-10-16,2016,6,TEN,CLE,28.0,26.0,7.5,-102.0,-108.0
2016-10-16,2016,6,WAS,PHI,27.0,20.0,-3.0,-109.0,-101.0
2016-10-17,2016,6,ARI,NYJ,28.0,3.0,7.5,-108.0,-102.0
2016-10-20,2016,7,GB,CHI,26.0,10.0,7.5,106.0,-117.0
2016-10-23,2016,7,ARI,SEA,6.0,6.0,2.5,-110.0,-100.0
2016-10-23,2016,7,ATL,SD,30.0,33.0,4.5,-107.0,-103.0
2016-10-23,2016,7,CIN,CLE,31.0,17.0,11.5,-105.0,-105.0
2016-10-23,2016,7,DET,WAS,20.0,17.0,-1.0,-111.0,101.0
2016-10-23,2016,7,JAX,OAK,16.0,33.0,1.5,-110.0,-100.0
2016-10-23,2016,7,KC,NO,27.0,21.0,6.0,-103.0,-107.0
2016-10-23,2016,7,LA,NYG,10.0,17.0,-3.0,-115.0,104.0
2016-10-23,2016,7,MIA,BUF,28.0,25.0,-2.5,-101.0,-109.0
2016-10-23,2016,7,NYJ,BAL,24.0,16.0,2.0,-107.0,-103.0
2016-10-23,2016,7,PHI,MIN,21.0,10.0,-2.5,-102.0,-108.0
2016-10-23,2016,7,PIT,NE,16.0,27.0,-7.5,-123.0,111.0
2016-10-23,2016,7,SF,TB,17.0,34.0,1.0,-107.0,-103.0
2016-10-23,2016,7,TEN,IND,26.0,34.0,4.0,-106.0,-104.0
2016-10-24,2016,7,DEN,HOU,27.0,9.0,8.5,-103.0,-107.0
2016-10-27,2016,8,TEN,JAX,36.0,22.0,3.0,107.0,-118.0
2016-10-30,2016,8,ATL,GB,33.0,32.0,3.0,-104.0,-106.0
2016-10-30,2016,8,BUF,NE,25.0,41.0,-5.5,-105.0,-105.0
2016-10-30,2016,8,CAR,ARI,30.0,20.0,2.5,-110.0,-100.0
2016-10-30,2016,8,CIN,WAS,27.0,27.0,3.0,-105.0,-105.0
2016-10-30,2016,8,CLE,NYJ,28.0,31.0,-2.5,-100.0,-110.0
2016-10-30,2016,8,DAL,PHI,29.0,23.0,5.0,-108.0,-102.0
2016-10-30,2016,8,DEN,SD,27.0,19.0,3.5,102.0,-113.0
2016-10-30,2016,8,HOU,DET,20.0,13.0,1.0,-101.0,-109.0
2016-10-30,2016,8,IND,KC,14.0,30.0,-3.0,-119.0,108.0
2016-10-30,2016,8,NO,SEA,25.0,20.0,-1.0,-113.0,102.0
2016-10-30,2016,8,TB,OAK,24.0,30.0,1.0,-110.0,-100.0
2016-10-31,2016,8,CHI,MIN,20.0,10.0,-5.5,-106.0,-104.0
2016-11-03,2016,9,TB,ATL,28.0,43.0,-4.5,-107.0,-103.0
2016-11-06,2016,9,BAL,PIT,21.0,14.0,-3.5,-133.0,120.0
2016-11-06,2016,9,CLE,DAL,10.0,35.0,-7.0,-110.0,-100.0
2016-11-06,2016,9,GB,IND,26.0,31.0,7.5,-103.0,-107.0
2016-11-06,2016,9,KC,JAX,19.0,14.0,7.0,106.0,-117.0
2016-11-06,2016,9,LA,CAR,10.0,13.0,-3.0,-119.0,108.0
2016-11-06,2016,9,MIA,NYJ,27.0,23.0,3.5,-110.0,-100.0
2016-11-06,2016,9,MIN,DET,16.0,22.0,4.0,-100.0,-110.0
2016-11-06,2016,9,NYG,PHI,28.0,23.0,3.0,-100.0,-110.0
2016-11-06,2016,9,OAK,DEN,30.0,20.0,1.0,104.0,-115.0
2016-11-06,2016,9,SD,TEN,43.0,35.0,3.5,-103.0,-107.0
2016-11-06,2016,9,SF,NO,23.0,41.0,-5.0,-107.0,-103.0
2016-11-07,2016,9,SEA,BUF,31.0,25.0,5.5,-100.0,-110.0
2016-11-10,2016,10,BAL,CLE,28.0,7.0,7.5,-100.0,-110.0
2016-11-13,2016,10,ARI,SF,23.0,20.0,14.0,-105.0,-105.0
2016-11-13,2016,10,CAR,KC,17.0,20.0,3.0,-123.0,111.0
2016-11-13,2016,10,JAX,HOU,21.0,24.0,3.0,-108.0,-102.0
2016-11-13,2016,10,NE,SEA,24.0,31.0,7.5,102.0,-113.0
2016-11-13,2016,10,NO,DEN,23.0,25.0,3.0,-100.0,-110.0
2016-11-13,2016,10,NYJ,LA,6.0,9.0,-1.0,-102.0,-108.0
2016-11-13,2016,10,PHI,ATL,24.0,15.0,2.0,-105.0,-105.0
2016-11-13,2016,10,PIT,DAL,30.0,35.0,3.0,-123.0,111.0
2016-11-13,2016,10,SD,MIA,24.0,31.0,4.0,-100.0,-110.0
2016-11-13,2016,10,TB,CHI,36.0,10.0,-2.5,106.0,-117.0
2016-11-13,2016,10,TEN,GB,47.0,25.0,-3.0,-117.0,106.0
2016-11-13,2016,10,WAS,MIN,26.0,20.0,2.5,-117.0,106.0
2016-11-14,2016,10,NYG,CIN,21.0,20.0,-1.0,-105.0,-105.0
2016-11-17,2016,11,CAR,NO,23.0,20.0,3.5,-104.0,-106.0
2016-11-20,2016,11,CIN,BUF,12.0,16.0,2.5,-110.0,-100.0
2016-11-20,2016,11,CLE,PIT,9.0,24.0,-8.0,-119.0,108.0
2016-11-20,2016,11,DAL,BAL,27.0,17.0,7.0,-108.0,-102.0
2016-11-20,2016,11,DET,JAX,26.0,19.0,5.5,102.0,-113.0
2016-11-20,2016,11,IND,TEN,24.0,17.0,3.0,111.0,-123.0
2016-11-20,2016,11,KC,TB,17.0,19.0,7.0,106.0,-117.0
2016-11-20,2016,11,LA,MIA,10.0,14.0,1.0,101.0,-111.0
2016-11-20,2016,11,MIN,ARI,30.0,24.0,2.0,-102.0,-108.0
2016-11-20,2016,11,NYG,CHI,22.0,16.0,7.0,-100.0,-110.0
2016-11-20,2016,11,SEA,PHI,26.0,15.0,6.5,-110.0,-100.0
2016-11-20,2016,11,SF,NE,17.0,30.0,-10.5,-110.0,-100.0
2016-11-20,2016,11,WAS,GB,42.0,24.0,2.5,-110.0,-100.0
2016-11-21,2016,11,OAK,HOU,27.0,20.0,6.5,-106.0,-104.0
2016-11-24,2016,12,DAL,WAS,31.0,26.0,5.5,-105.0,-105.0
2016-11-24,2016,12,DET,MIN,16.0,13.0,2.0,-102.0,-108.0
2016-11-24,2016,12,IND,PIT,7.0,28.0,-8.0,-109.0,-101.0
2016-11-27,2016,12,ATL,ARI,38.0,19.0,3.5,-107.0,-103.0
2016-11-27,2016,12,BAL,CIN,19.0,14.0,3.5,-105.0,-105.0
2016-11-27,2016,12,BUF,JAX,28.0,21.0,8.5,102.0,-113.0
2016-11-27,2016,12,CHI,TEN,21.0,27.0,-6.5,106.0,-117.0
2016-11-27,2016,12,CLE,NYG,13.0,27.0,-6.5,-105.0,-105.0
2016-11-27,2016,12,DEN,KC,27.0,30.0,3.5,102.0,-113.0
2016-11-27,2016,12,HOU,SD,13.0,21.0,-2.5,-105.0,-105.0
2016-11-27,2016,12,MIA,SF,31.0,24.0,7.0,-105.0,-105.0
2016-11-27,2016,12,NO,LA,49.0,21.0,7.5,102.0,-113.0
2016-11-27,2016,12,NYJ,NE,17.0,22.0,-9.0,-110.0,-100.0
2016-11-27,2016,12,OAK,CAR,35.0,32.0,3.5,111.0,-123.0
2016-11-27,2016,12,TB,SEA,14.0,5.0,-5.0,-110.0,-100.0
2016-11-28,2016,12,PHI,GB,13.0,27.0,4.0,-105.0,-105.0
2016-12-01,2016,13,MIN,DAL,15.0,17.0,-3.0,-110.0,-100.0
2016-12-04,2016,13,ARI,WAS,31.0,23.0,2.5,-109.0,-101.0
2016-12-04,2016,13,ATL,KC,28.0,29.0,5.0,-106.0,-104.0
2016-12-04,2016,13,BAL,MIA,38.0,6.0,3.5,102.0,-113.0
2016-12-04,2016,13,CHI,SF,26.0,6.0,-0.0,102.0,-113.0
2016-12-04,2016,13,CIN,PHI,32.0,14.0,1.0,-110.0,-100.0
2016-12-04,2016,13,GB,HOU,21.0,13.0,7.0,-104.0,-106.0
2016-12-04,2016,13,JAX,DEN,10.0,20.0,-3.5,-108.0,-102.0
2016-12-04,2016,13,NE,LA,26.0,10.0,13.0,-108.0,-102.0
2016-12-04,2016,13,NO,DET,13.0,28.0,6.5,-108.0,-102.0
2016-12-04,2016,13,OAK,BUF,38.0,24.0,3.0,104.0,-115.0
2016-12-04,2016,13,PIT,NYG,24.0,14.0,7.0,-105.0,-105.0
2016-12-04,2016,13,SD,TB,21.0,28.0,3.5,102.0,-113.0
